dz_2021_code,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20002376,32,100,13,2,5,5,7,5,2
N20002377,17,41,43,87,16,25,11,13,9
N20002378,20,12,18,50,27,3,6,20,4
N20002379,56,143,43,35,21,24,15,14,13
N20002380,34,63,19,25,7,22,25,11,6
N20002381,20,32,27,48,12,22,14,7,4
N20002382,30,67,27,39,16,35,20,19,9
N20002383,69,163,45,3,2,7,6,9,9
N20002384,21,29,25,41,13,28,22,12,8
N20002385,38,30,32,73,26,8,12,21,6
N20002386,17,83,29,58,19,35,9,7,10
N20002387,28,84,44,60,5,27,20,11,12
N20002388,28,43,18,36,6,76,13,13,6
N20002389,12,50,34,85,6,14,3,6,8
N20002390,39,23,46,55,17,5,13,39,5
N20002391,10,19,16,22,13,8,4,11,1
N20002392,20,32,64,120,8,10,3,22,7
N20002393,33,27,31,49,34,9,8,34,8
N20002394,36,65,23,28,16,20,20,15,6
N20002395,3,34,50,55,3,14,4,3,3
N20002396,32,21,31,31,8,0,10,22,5
N20002397,41,46,48,28,13,9,12,33,8
N20002398,6,29,23,37,19,34,5,6,5
N20002399,26,18,44,71,38,5,6,50,7
N20002400,26,14,9,19,21,3,1,12,4
N20002401,40,10,17,52,12,6,7,12,2
N20002402,21,18,41,34,15,13,14,17,4
N20002403,23,63,41,30,11,8,10,13,5
N20002404,33,23,29,80,17,9,11,27,5
N20002405,27,25,27,42,19,8,11,35,6
N20002406,30,9,32,48,32,4,1,58,5
N20002407,15,17,17,18,6,10,8,12,5
N20002408,42,27,30,42,23,16,12,43,9
N20002409,25,71,15,23,7,31,7,15,2
N20002410,30,8,25,31,14,7,13,39,4
N20002411,35,83,41,36,24,26,13,13,12
N20002412,22,23,26,46,14,18,11,15,7
N20002413,41,14,10,24,7,2,7,27,4
N20002414,29,61,35,38,11,26,18,23,8
N20002415,24,47,25,36,14,18,16,10,5
N20002416,48,12,14,28,11,9,11,47,6
N20002417,38,11,25,40,25,4,6,30,2
N20002418,22,56,33,22,20,29,4,14,8
N20002419,22,43,30,20,4,5,2,10,5
N20002420,40,50,30,29,14,27,17,23,4
N20002421,46,99,16,6,4,14,3,8,5
N20002422,42,53,20,13,4,5,8,15,4
N20002423,35,43,22,35,13,33,13,21,4
N20002424,30,19,32,52,21,8,8,36,7
N20002425,23,28,41,69,21,3,6,32,8
N20002426,13,31,34,48,18,4,3,32,1
N20002427,38,21,38,42,18,8,9,41,4
N20002428,11,17,23,14,12,5,8,8,4
N20002429,12,32,14,46,14,40,13,14,15
N20002430,23,14,24,55,13,1,6,18,6
N20002431,22,26,9,37,10,21,18,11,13
N20002432,60,86,34,28,12,18,14,17,4
N20002433,9,8,20,51,15,6,2,26,5
N20002434,8,33,19,20,13,6,9,8,3
N20002435,44,43,54,68,13,9,10,44,7
N20002436,24,33,38,44,16,8,10,19,3
N20002437,11,25,61,90,24,6,11,27,3
N20002438,24,22,25,41,23,9,7,30,5
N20002439,28,25,45,81,27,8,7,42,14
N20002440,27,32,41,51,28,10,16,41,13
N20002441,18,32,48,70,20,9,7,29,3
N20002442,22,13,29,57,31,7,6,21,5
N20002443,22,7,26,42,17,1,8,35,1
N20002444,18,13,33,55,29,5,8,28,12
N20002445,18,22,44,51,26,4,6,33,12
N20002446,29,16,39,54,26,4,9,33,13
N20002447,21,16,51,45,27,3,7,39,9
N20002448,26,34,46,40,15,10,10,11,6
N20002449,26,15,36,40,40,7,11,26,8
N20002450,15,15,28,58,24,10,2,23,9
N20002451,32,22,39,49,27,3,10,30,14
N20002452,18,18,29,53,24,3,7,21,8
N20002453,24,20,27,44,18,9,4,18,6
N20002454,28,45,28,83,8,26,11,10,2
N20002455,15,23,23,30,10,17,14,14,3
N20002456,33,51,62,64,21,17,16,15,7
N20002457,29,51,45,56,8,10,6,27,0
N20002458,26,19,37,54,39,3,10,23,6
N20002459,39,28,36,43,20,11,10,29,1
N20002460,16,47,24,17,5,7,4,5,4
N20002461,52,100,55,51,23,27,16,29,7
N20002462,26,49,31,30,15,22,11,11,11
N20002463,31,32,32,54,10,7,7,18,2
N20002464,31,20,29,39,14,8,13,28,6
N20002465,17,22,32,38,20,9,8,20,8
N20002466,12,20,15,22,9,5,5,12,5
N20002467,37,28,46,65,20,10,13,43,6
N20002468,37,31,48,58,12,9,8,29,6
N20002469,5,17,29,38,25,7,10,6,1
N20002470,27,27,35,74,40,11,13,30,2
N20002471,16,54,37,36,16,11,10,11,2
N20002472,22,13,26,44,15,2,4,45,8
N20002473,41,24,26,42,15,3,8,28,6
N20002474,15,43,57,70,48,7,9,16,8
N20002475,41,25,20,36,31,3,4,42,6
N20002476,16,35,57,83,33,10,6,12,6
N20002477,30,49,43,28,11,3,8,19,6
N20002478,16,27,38,74,44,2,10,29,8
N20002479,16,20,23,36,18,3,3,6,5
N20002480,3,29,29,120,5,6,4,6,0
N20002481,20,52,37,62,20,35,22,9,9
N20002482,7,27,40,117,15,10,3,5,4
N20002483,27,19,46,83,67,7,11,18,5
N20002484,34,58,34,74,22,6,9,34,4
N20002485,21,14,27,41,17,7,3,27,3
N20002486,21,10,11,16,14,2,7,27,5
N20002487,12,7,43,64,62,9,12,15,12
N20002488,32,18,53,72,10,7,9,16,3
N20002489,21,15,23,23,18,10,9,18,5
N20002490,62,21,34,53,19,6,11,45,4
N20002491,29,30,40,53,20,9,5,41,5
N20002492,21,33,25,25,18,18,8,2,5
N20002493,44,35,3,14,10,35,8,3,4
N20002494,7,55,38,37,7,26,8,4,5
N20002495,22,21,40,80,27,8,7,19,6
N20002496,26,39,39,91,22,23,11,13,9
N20002497,13,53,33,47,12,12,11,6,7
N20002498,20,12,16,48,22,4,9,10,6
N20002499,23,17,45,73,30,5,9,26,13
N20002500,16,30,67,100,41,12,11,18,9
N20002501,21,15,46,46,27,1,8,28,5
N20002502,30,18,36,31,23,6,3,18,6
N20002503,21,29,60,54,27,5,11,16,5
N20002504,20,27,26,24,6,10,5,14,5
N20002505,1,8,28,96,12,3,2,9,3
N20002506,19,35,20,23,12,3,6,15,11
N20002507,41,22,17,10,6,5,7,13,4
N20002508,46,90,45,27,10,16,8,30,9
N20002509,8,42,65,75,11,8,5,8,1
N20002510,21,71,24,15,5,21,10,7,11
N20002511,33,46,31,28,9,29,25,19,9
N20002512,48,50,38,28,6,22,16,23,9
N20002513,21,46,17,16,11,7,12,32,6
N20002514,30,40,19,38,25,34,26,29,10
N20002515,11,19,41,62,26,21,6,13,5
N20002516,31,54,46,49,17,13,10,32,8
N20002517,13,30,15,26,3,16,10,4,8
N20002518,7,46,38,59,18,7,2,7,4
N20002519,14,16,27,32,14,4,3,12,1
N20002520,34,20,33,46,8,14,7,16,7
N20002521,30,79,23,25,18,41,12,11,7
N20002522,27,47,17,21,13,25,15,15,1
N20002523,20,63,18,19,8,24,17,8,2
N20002524,28,69,38,40,25,12,13,16,5
N20002525,41,45,27,29,6,8,6,13,5
N20002526,6,53,63,87,4,9,2,7,3
N20002527,35,50,30,45,22,42,22,13,13
N20002528,2,33,35,52,3,12,0,1,0
N20002529,40,33,23,24,9,18,5,15,3
N20002530,42,50,26,27,19,18,16,17,5
N20002531,31,55,30,16,14,8,3,17,4
N20002532,25,33,34,44,15,11,8,23,3
N20002533,17,21,25,22,9,25,11,4,4
N20002534,33,28,34,47,17,15,11,26,13
N20002535,11,9,22,43,21,5,6,10,2
N20002536,28,40,43,51,20,11,10,34,7
N20002537,32,13,36,21,13,1,5,32,2
N20002538,3,35,63,58,4,4,5,3,3
N20002539,3,34,54,57,4,9,4,4,2
N20002540,26,20,36,35,21,2,8,15,9
N20002541,26,16,29,43,18,4,9,24,9
N20002542,20,17,44,33,7,5,9,29,3
N20002543,16,20,16,19,6,8,2,25,2
N20002544,30,38,22,32,16,14,8,14,3
N20002545,18,19,51,58,35,4,13,16,4
N20002546,23,19,57,64,29,5,11,31,3
N20002547,18,21,25,54,30,3,6,27,14
N20002548,25,27,27,72,34,9,15,24,3
N20002549,22,19,27,62,29,0,7,18,7
N20002550,18,8,24,76,29,2,8,27,6
N20002551,17,27,28,32,23,7,6,23,7
N20002552,21,18,15,50,19,9,7,20,7
N20002553,17,21,22,39,17,5,13,17,6
N20002554,30,52,15,21,7,20,15,11,4
N20002555,25,26,34,43,24,13,7,35,7
N20002556,23,46,21,34,18,27,27,12,10
N20002557,19,26,37,53,31,13,10,35,3
N20002558,59,53,21,15,10,18,9,11,2
N20002559,26,35,29,23,13,7,8,22,10
N20002560,28,24,13,31,16,23,5,14,4
N20002561,30,66,30,43,8,14,5,6,5
N20002562,29,41,34,43,21,18,12,19,10
N20002563,34,29,39,79,38,4,8,29,9
N20002564,36,31,38,45,31,5,16,54,11
N20002565,6,11,31,24,18,4,7,9,2
N20002566,17,24,30,43,8,6,7,17,7
N20002567,19,51,27,42,24,32,16,17,7
N20002568,16,44,31,27,8,13,7,9,2
N20002569,13,5,35,37,23,5,6,10,3
N20002570,33,11,27,43,18,5,6,28,1
N20002571,27,21,28,52,17,7,7,31,6
N20002572,19,25,41,40,42,5,11,26,10
N20002573,19,22,43,42,18,7,9,34,7
N20002574,21,30,57,68,29,12,8,26,7
N20002575,39,26,8,5,3,10,6,11,2
N20002576,23,48,37,49,16,30,13,20,2
N20002577,21,14,28,52,28,2,13,27,8
N20002578,13,51,32,65,22,18,3,9,1
N20002579,23,36,45,59,11,22,10,15,1
N20002580,16,9,27,51,33,5,3,25,11
N20002581,22,17,40,57,32,1,5,31,17
N20002582,20,16,30,63,41,5,11,26,10
N20002583,14,17,24,65,34,7,8,19,7
N20002584,20,17,37,72,34,13,11,24,9
N20002585,15,17,14,60,32,5,5,22,11
N20002586,25,36,25,69,15,26,15,15,7
N20002587,13,26,11,25,11,25,12,11,7
N20002588,20,63,14,32,5,50,19,12,23
N20002589,18,27,12,28,12,48,17,20,13
N20002590,24,13,20,52,22,14,5,18,5
N20002591,21,12,27,24,13,8,6,37,6
N20002592,16,20,24,34,19,11,14,24,8
N20002593,21,42,38,54,28,18,15,16,19
N20002594,43,65,14,28,3,31,13,14,21
N20002595,42,24,39,41,21,17,10,51,7
N20002596,24,23,7,24,14,8,11,11,13
N20002597,23,31,31,21,14,10,12,29,10
N20002598,20,17,28,37,12,6,7,21,7
N20002599,16,20,24,37,15,6,8,36,7
N20002600,45,30,41,40,30,5,10,51,4
N20002601,29,36,10,29,20,16,22,17,12
N20002602,24,20,18,47,15,17,7,16,10
N20002603,35,11,50,45,17,9,9,42,14
N20002604,59,78,44,39,15,19,19,27,18
N20002605,33,29,18,47,14,12,12,23,22
N20002606,41,53,32,40,21,27,10,25,12
N20002607,16,12,21,23,11,0,8,38,3
N20002608,34,63,10,5,3,13,7,5,1
N20002609,20,24,35,25,21,6,9,29,9
N20002610,22,22,30,24,8,10,13,20,11
N20002611,23,83,30,37,8,12,23,15,24
N20002612,39,31,23,32,11,16,19,19,16
N20002613,31,68,36,58,14,23,15,14,27
N20002614,90,77,16,18,6,9,15,15,5
N20002615,31,60,17,24,11,24,16,16,31
N20002616,16,40,10,21,8,21,17,8,6
N20002617,9,69,34,30,14,21,14,15,52
N20002618,17,7,13,35,19,5,6,37,1
N20002619,21,64,20,20,19,56,33,11,11
N20002620,36,128,28,16,7,16,13,10,26
N20002621,27,13,31,41,15,11,2,35,0
N20002622,14,45,18,20,8,51,18,8,5
N20002623,18,7,25,26,13,3,7,48,2
N20002624,25,20,26,35,15,8,5,39,7
N20002625,24,44,19,13,5,22,11,9,10
N20002626,24,31,17,26,10,18,11,17,6
N20002627,27,47,12,9,4,15,8,10,3
N20002628,14,68,34,52,4,23,11,9,21
N20002629,35,82,25,34,15,30,29,21,12
N20002630,21,20,31,34,5,8,6,7,4
N20002631,36,47,32,17,11,13,14,19,8
N20002632,17,31,50,42,16,13,7,10,7
N20002633,39,13,35,44,19,5,6,36,7
N20002634,26,46,38,35,7,24,12,16,13
N20002635,10,14,23,50,9,10,5,22,4
N20002636,14,26,13,26,6,19,4,10,2
N20002637,8,21,45,64,18,18,7,18,6
N20002638,8,27,25,40,8,27,9,6,4
N20002639,24,20,38,74,32,5,16,25,5
N20002640,19,57,33,66,21,33,18,18,7
N20002641,10,18,17,64,18,5,9,17,3
N20002642,24,14,22,50,28,9,11,24,14
N20002643,20,17,23,60,22,11,10,15,6
N20002644,13,31,27,39,7,5,8,12,5
N20002645,22,29,28,76,28,4,13,33,9
N20002646,15,23,35,85,40,6,5,23,9
N20002647,21,24,39,82,32,7,11,28,8
N20002648,25,16,42,70,45,4,10,17,9
N20002649,13,23,25,35,18,7,5,22,6
N20002650,16,23,24,41,13,7,7,18,7
N20002651,16,14,20,40,25,4,3,24,11
N20002652,37,42,44,47,19,21,16,35,6
N20002653,34,28,43,40,26,6,7,17,6
N20002654,34,21,55,66,31,6,8,42,4
N20002655,36,39,35,61,16,15,8,17,4
N20002656,69,62,25,31,12,10,7,26,11
N20002657,29,27,16,18,8,15,9,14,4
N20002658,35,23,37,63,21,10,8,30,5
N20002659,6,27,24,25,4,21,5,5,2
N20002660,27,13,26,35,13,5,7,42,4
N20002661,25,33,31,29,8,11,2,22,7
N20002662,20,20,42,69,29,5,8,27,8
N20002663,28,24,55,68,26,6,14,37,15
N20002664,15,10,38,63,23,10,10,22,9
N20002665,39,48,11,8,7,18,8,10,4
N20002666,43,58,33,26,9,20,15,16,13
N20002667,19,35,31,23,12,12,8,11,10
N20002668,23,24,52,42,33,3,10,25,10
N20002669,36,57,26,39,6,12,23,23,9
N20002670,50,22,40,30,24,8,12,33,11
N20002671,31,73,31,34,18,69,23,5,10
N20002672,16,32,16,11,6,4,10,14,4
N20002673,8,37,14,18,14,49,14,11,5
N20002674,25,19,21,40,30,5,8,21,3
N20002675,11,20,22,30,15,8,7,14,1
N20002676,22,25,36,59,34,6,14,30,22
N20002677,9,9,29,51,26,4,6,15,9
N20002678,34,18,35,51,23,9,14,32,18
N20002679,19,14,25,41,21,4,12,17,8
N20002680,27,42,20,27,15,29,17,9,2
N20002681,10,42,46,63,22,16,6,18,7
N20002682,29,41,46,74,17,19,17,20,3
N20002683,25,46,28,48,18,10,8,12,2
N20002684,20,11,30,27,22,3,5,20,3
N20002685,18,23,21,32,9,5,5,21,9
N20002686,24,39,12,18,24,18,12,12,3
N20002687,23,66,30,50,25,25,15,17,6
N20002688,25,32,24,28,19,15,19,20,5
N20002689,41,58,30,24,14,14,14,27,8
N20002690,13,20,27,37,18,5,8,16,7
N20002691,35,22,35,46,30,7,13,35,16
N20002692,24,18,27,55,19,5,5,29,2
N20002693,41,16,24,22,12,5,6,42,3
N20002694,11,16,27,38,21,4,7,30,6
N20002695,34,21,52,31,21,5,5,36,5
N20002696,17,22,33,27,20,9,8,31,5
N20002697,17,10,34,28,26,11,6,32,9
N20002698,30,50,14,32,11,25,11,12,7
N20002699,28,30,49,34,29,12,16,29,7
N20002700,10,32,34,44,19,10,3,9,3
N20002701,19,22,27,28,19,11,8,22,3
N20002702,24,43,18,20,5,16,5,9,7
N20002703,23,43,17,10,10,8,6,13,3
N20002704,35,40,21,10,7,18,16,11,5
N20002705,11,67,21,43,8,16,6,8,3
N20002706,10,26,14,29,12,8,13,12,2
N20002707,11,21,31,34,16,15,14,17,5
N20002708,34,66,14,17,12,25,10,13,3
N20002709,30,70,31,44,17,61,28,22,8
N20002710,45,58,30,28,11,49,20,15,2
N20002711,38,47,16,18,12,20,10,22,7
N20002712,36,27,13,10,15,13,15,13,3
N20002713,48,25,44,24,21,8,12,29,6
N20002714,43,70,24,17,4,29,13,19,9
N20002715,45,27,26,29,26,13,14,36,3
N20002716,1,77,41,88,17,51,14,6,4
N20002717,35,44,16,17,10,12,13,12,1
N20002718,44,50,27,25,21,8,14,31,6
N20002719,24,57,19,19,10,44,9,8,6
N20002720,45,54,17,18,11,18,15,23,1
N20002721,55,40,15,3,5,2,4,11,4
N20002722,34,12,26,26,13,11,8,50,5
N20002723,28,57,14,20,10,48,11,11,3
N20002724,39,78,23,13,5,11,10,10,6
N20002725,23,33,17,17,5,5,7,18,2
N20002726,58,29,35,30,27,5,9,47,8
N20002727,36,95,20,16,8,18,15,11,10
N20002728,31,37,20,30,17,18,11,20,1
N20002729,41,43,3,0,1,0,4,8,3
N20002730,2,8,34,57,24,6,4,6,2
N20002731,13,41,58,54,20,20,10,13,9
N20002732,22,56,35,28,15,21,15,15,2
N20002733,3,23,38,69,5,9,4,7,3
N20002734,25,60,19,8,7,14,5,14,7
N20002735,43,89,37,25,10,16,12,14,3
N20002736,25,25,39,32,12,4,6,23,4
N20002737,7,29,42,67,26,16,7,14,3
N20002738,4,31,44,47,6,22,8,7,2
N20002739,40,52,59,44,25,6,10,40,7
N20002740,37,62,39,50,20,25,12,21,6
N20002741,48,36,32,31,22,19,14,17,2
N20002742,36,37,49,77,35,8,16,35,19
N20002743,42,39,63,76,41,15,17,47,10
N20002744,24,43,59,77,34,5,14,24,16
N20002745,17,39,41,45,14,25,8,18,6
N20002746,28,20,51,56,40,4,7,34,12
N20002747,29,25,34,52,31,7,12,26,11
N20002748,25,46,27,33,13,24,8,17,8
N20002749,15,15,38,31,12,7,5,25,2
N20002750,9,29,22,45,7,17,5,6,2
N20002751,30,25,46,48,27,10,9,37,4
N20002752,16,26,24,27,8,15,9,13,1
N20002753,17,25,30,43,14,15,8,16,7
N20002754,24,37,17,25,9,14,8,4,1
N20002755,34,21,47,35,26,2,6,48,3
N20002756,50,63,16,20,8,23,14,18,2
N20002757,20,23,31,48,23,17,7,21,4
N20002758,24,25,34,29,14,1,8,37,8
N20002759,39,45,18,10,4,11,7,3,2
N20002760,37,78,24,24,16,22,16,16,4
N20002761,30,29,35,39,20,15,14,19,7
N20002762,60,26,50,47,29,4,10,55,6
N20002763,13,11,38,40,34,3,4,18,3
N20002764,14,23,46,60,26,9,9,14,3
N20002765,0,24,32,73,34,15,8,8,3
N20002766,4,3,23,25,19,3,2,19,5
N20002767,26,49,30,31,11,18,6,10,5
N20002768,7,20,51,104,48,11,14,20,8
N20002769,2,16,43,83,19,16,6,1,3
N20002770,2,11,28,105,26,20,6,5,6
N20002771,6,15,28,37,17,7,1,8,0
N20002772,9,19,6,20,12,47,17,1,6
N20002773,27,19,25,24,25,8,6,34,6
N20002774,11,32,63,64,48,18,10,26,10
N20002775,19,22,86,63,48,8,8,34,9
N20002776,9,12,19,23,14,12,5,14,1
N20002777,16,22,30,41,26,5,3,19,6
N20002778,36,49,66,62,17,19,17,29,8
N20002779,41,40,24,29,13,26,10,13,5
N20002780,43,60,26,24,11,26,29,16,3
N20002781,28,76,21,27,9,54,18,8,12
N20002782,24,22,25,22,17,14,16,17,4
N20002783,41,7,38,21,10,4,6,53,3
N20002784,15,18,20,26,15,19,9,19,2
N20002785,26,13,22,28,9,10,3,41,3
N20002786,26,27,34,34,37,8,13,21,3
N20002787,29,49,20,22,16,23,14,10,8
N20002788,38,28,30,35,15,12,13,29,3
N20002789,68,45,35,27,21,4,8,45,7
N20002790,27,60,41,31,21,23,15,24,8
N20002791,27,40,12,32,20,17,9,3,5
N20002792,66,69,35,13,11,22,12,32,7
N20002793,80,40,14,4,4,1,9,24,6
N20002794,28,35,27,29,13,23,8,20,9
N20002795,89,97,24,12,4,23,12,24,5
N20002796,25,76,31,9,12,30,14,9,12
N20002797,13,79,29,45,10,27,7,6,15
N20002798,42,130,24,13,3,11,10,10,9
N20002799,27,53,28,37,13,26,13,16,9
N20002800,76,98,44,15,10,7,10,52,3
N20002801,62,30,14,2,2,3,2,31,0
N20002802,35,24,58,79,55,7,19,34,19
N20002803,24,23,43,30,20,9,11,35,1
N20002804,26,13,62,35,45,3,8,56,6
N20002805,12,20,32,48,34,11,4,13,5
N20002806,14,27,32,47,31,17,7,7,2
N20002807,13,10,31,15,19,1,8,28,2
N20002808,27,24,70,38,50,9,8,39,9
N20002809,26,23,44,48,36,6,7,34,14
N20002810,17,36,47,24,19,9,10,15,7
N20002811,46,36,17,14,9,24,13,9,8
N20002812,17,25,19,19,4,13,5,10,4
N20002813,12,33,31,32,8,49,13,5,7
N20002814,37,29,67,46,35,11,8,32,8
N20002815,16,31,14,19,6,23,10,8,3
N20002816,23,32,13,17,7,28,18,15,5
N20002817,26,46,25,38,12,23,8,6,4
N20002818,15,62,15,26,5,61,13,10,15
N20002819,27,74,23,31,12,35,25,27,9
N20002820,22,29,27,29,12,20,11,12,5
N20002821,23,71,24,40,15,48,19,19,16
N20002822,10,25,46,56,27,26,10,9,6
N20002823,29,27,54,58,33,15,12,34,8
N20002824,11,30,28,16,5,8,1,20,2
N20002825,31,17,53,83,24,10,8,44,9
N20002826,30,19,37,57,30,10,9,28,4
N20002827,11,31,33,68,12,11,7,7,2
N20002828,16,33,30,32,10,10,11,14,6
N20002829,41,81,27,33,17,32,18,9,11
N20002830,50,65,37,41,10,6,9,30,5
N20002831,35,83,12,13,5,16,12,10,5
N20002832,13,13,34,66,20,13,5,18,5
N20002833,18,71,22,17,9,26,24,8,5
N20002834,16,32,22,18,8,27,17,10,8
N20002835,15,50,48,66,16,33,14,4,10
N20002836,24,61,64,51,17,5,13,23,5
N20002837,18,10,11,48,9,5,4,14,8
N20002838,32,54,51,101,47,18,22,25,9
N20002839,16,14,21,63,24,8,8,23,9
N20002840,31,24,24,74,32,8,10,21,9
N20002841,7,7,8,63,23,6,8,18,9
N20002842,18,28,21,36,22,12,18,15,7
N20002843,37,41,30,57,35,14,16,26,6
N20002844,30,20,23,59,15,6,7,19,7
N20002845,31,14,33,78,25,6,20,32,7
N20002846,31,42,28,57,29,14,7,30,8
N20002847,15,14,10,50,36,7,8,17,12
N20002848,28,22,32,81,33,9,10,30,18
N20002849,33,16,28,47,29,10,12,18,10
N20002850,5,34,19,47,7,25,14,4,5
N20002851,13,32,40,119,29,23,7,23,7
N20002852,19,14,24,56,24,17,16,20,13
N20002853,27,20,21,82,32,7,13,37,11
N20002854,34,43,14,20,21,13,24,17,7
N20002855,42,47,25,26,11,9,18,13,7
N20002856,19,10,28,26,19,13,6,22,8
N20002857,42,45,27,37,14,21,15,22,10
N20002858,31,64,17,34,15,18,22,22,8
N20002859,20,21,16,81,30,9,15,29,13
N20002860,33,23,20,74,35,5,16,39,20
N20002861,5,19,17,57,11,17,13,5,7
N20002862,22,19,16,55,22,6,11,18,12
N20002863,21,21,28,71,33,2,12,27,15
N20002864,10,15,20,54,29,2,12,10,8
N20002865,19,13,11,58,29,8,6,12,16
N20002866,21,12,19,83,24,8,11,21,9
N20002867,33,52,51,98,27,14,11,28,13
N20002868,31,21,16,86,40,4,17,21,11
N20002869,26,45,20,45,20,27,17,17,15
N20002870,20,35,31,76,16,26,11,5,12
N20002871,31,40,32,73,41,14,13,23,7
N20002872,60,54,38,67,16,9,22,26,10
N20002873,4,14,21,69,15,15,3,4,2
N20002874,19,11,18,43,17,10,5,12,4
N20002875,42,66,22,31,19,25,14,30,10
N20002876,21,9,28,42,30,7,16,29,8
N20002877,20,18,16,47,34,2,13,23,9
N20002878,25,39,12,26,16,20,18,16,9
N20002879,36,33,58,107,41,15,18,23,15
N20002880,32,44,27,54,16,24,11,14,7
N20002881,40,44,35,55,19,16,13,25,4
N20002882,27,36,16,80,37,10,14,29,17
N20002883,30,21,27,39,14,19,14,14,11
N20002884,13,37,39,96,12,24,8,5,3
N20002885,15,29,26,94,27,24,8,14,10
N20002886,18,35,19,49,29,8,11,12,6
N20002887,23,29,33,80,45,13,19,28,10
N20002888,22,14,15,62,19,4,13,13,9
N20002889,22,25,20,42,22,5,6,20,10
N20002890,23,26,21,57,36,6,15,19,11
N20002891,16,31,34,71,32,19,10,25,10
N20002892,21,20,24,60,24,10,8,17,9
N20002893,20,12,19,61,24,10,9,19,9
N20002894,7,29,25,59,39,10,12,16,13
N20002895,17,33,16,35,12,8,3,13,7
N20002896,3,18,32,42,10,12,5,12,4
N20002897,32,44,6,12,4,7,5,6,4
N20002898,22,48,12,42,12,12,2,21,6
N20002899,19,53,26,41,27,31,18,12,5
N20002900,9,16,32,60,3,9,3,15,6
N20002901,37,76,17,9,5,9,5,7,9
N20002902,26,42,20,29,19,19,11,25,11
N20002903,19,28,31,75,22,13,13,12,7
N20002904,45,57,18,31,19,38,35,20,14
N20002905,23,41,26,31,13,16,16,21,5
N20002906,17,37,9,23,15,16,12,9,5
N20002907,28,66,31,39,17,24,27,19,11
N20002908,11,34,41,80,21,28,20,14,12
N20002909,34,33,47,45,33,19,8,34,10
N20002910,8,17,58,53,22,12,7,19,6
N20002911,8,20,20,72,46,6,12,23,21
N20002912,16,41,41,72,29,15,16,30,6
N20002913,17,14,14,43,24,6,7,16,10
N20002914,14,12,26,55,42,8,7,14,6
N20002915,20,16,29,68,39,5,15,16,7
N20002916,18,48,33,69,9,29,8,9,7
N20002917,22,23,27,65,33,18,11,13,5
N20002918,24,20,13,70,33,6,9,17,2
N20002919,15,9,18,60,28,7,8,14,11
N20002920,24,15,27,68,39,6,11,30,12
N20002921,16,31,26,66,10,13,7,11,3
N20002922,25,38,27,47,16,18,11,18,7
N20002923,23,39,22,50,10,24,12,12,5
N20002924,16,52,42,66,9,34,11,13,7
N20002925,8,21,16,52,30,6,11,18,12
N20002926,20,27,28,60,28,4,8,25,9
N20002927,13,19,19,45,23,9,13,17,12
N20002928,24,21,31,99,37,5,14,24,9
N20002929,25,17,11,69,29,9,9,11,10
N20002930,25,23,22,67,30,8,20,21,12
N20002931,15,24,24,56,33,10,7,16,2
N20002932,22,19,38,55,14,11,11,17,1
N20002933,14,23,24,51,17,12,8,9,9
N20002934,36,26,33,41,10,19,11,31,6
N20002935,32,23,21,20,10,8,11,12,6
N20002936,8,11,10,41,21,9,10,7,7
N20002937,23,22,29,56,26,12,10,19,10
N20002938,41,94,23,49,17,40,15,17,7
N20002939,7,29,12,31,6,13,8,12,5
N20002940,25,62,30,43,13,21,20,18,20
N20002941,20,20,29,81,20,21,11,19,8
N20002942,28,28,34,45,36,6,15,36,12
N20002943,17,36,20,51,16,24,9,11,10
N20002944,24,15,20,42,23,10,8,14,9
N20002945,26,24,3,9,7,20,6,4,1
N20002946,27,55,13,14,9,15,8,14,19
N20002947,33,40,9,14,8,8,5,9,14
N20002948,24,15,20,85,31,8,8,26,18
N20002949,34,27,29,42,20,13,14,24,9
N20002950,21,56,18,20,3,16,5,16,26
N20002951,19,19,21,43,22,6,8,18,5
N20002952,20,23,22,61,16,18,9,11,3
N20002953,23,23,23,39,29,9,8,16,11
N20002954,40,44,37,64,24,26,12,30,10
N20002955,19,8,18,25,37,13,16,22,4
N20002956,18,55,35,50,23,28,30,10,16
N20002957,26,56,27,42,21,25,11,17,21
N20002958,16,26,12,17,11,17,11,8,7
N20002959,21,23,29,52,35,11,15,13,12
N20002960,34,47,22,18,17,21,19,20,6
N20002961,3,28,20,57,18,29,9,10,5
N20002962,31,49,24,33,18,33,25,18,14
N20002963,23,20,20,50,16,18,12,23,11
N20002964,16,29,25,48,38,18,12,20,15
N20002965,11,26,20,40,21,19,17,6,7
N20002966,20,21,18,67,43,23,12,17,19
N20002967,20,17,31,65,26,6,11,18,4
N20002968,25,30,14,37,13,9,9,25,3
N20002969,21,33,24,27,21,12,17,27,8
N20002970,19,33,22,57,28,23,14,9,12
N20002971,23,25,21,82,39,17,6,16,10
N20002972,24,55,20,41,16,26,18,11,11
N20002973,27,24,34,71,33,12,19,17,4
N20002974,16,14,23,44,26,9,10,20,9
N20002975,32,26,21,70,32,10,18,26,14
N20002976,19,35,11,69,26,26,18,20,4
