dz_2021_code,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000643,22,43,211,27,223
N20000644,18,38,113,16,204
N20000645,31,68,159,62,337
N20000646,19,54,122,28,334
N20000647,30,49,161,27,257
N20000648,44,52,153,65,288
N20000649,42,85,183,48,417
N20000650,15,30,122,19,205
N20000651,31,64,200,56,411
N20000652,27,54,184,41,274
N20000653,38,66,172,59,354
N20000654,20,45,131,32,253
N20000655,29,40,103,33,231
N20000656,18,33,85,21,145
N20000657,29,66,178,43,352
N20000658,22,50,133,40,260
N20000659,16,39,104,21,238
N20000660,25,37,116,17,382
N20000661,25,48,170,32,289
N20000662,15,41,138,14,253
N20000663,24,28,96,23,296
N20000664,34,43,182,22,332
N20000665,24,53,121,46,244
N20000666,17,43,143,18,211
N20000667,10,29,87,16,204
N20000668,13,21,53,10,126
N20000669,14,51,123,16,265
N20000670,19,51,165,20,229
N20000671,22,68,226,23,335
N20000672,23,32,90,15,169
N20000673,23,43,179,21,327
N20000674,27,42,132,25,320
N20000675,26,54,183,15,299
N20000676,30,68,187,47,343
N20000677,12,26,118,10,183
N20000678,32,74,171,19,310
N20000679,36,64,235,24,413
N20000680,18,38,132,25,240
N20000681,35,62,169,59,336
N20000682,17,36,136,14,290
N20000683,11,30,129,19,233
N20000684,12,39,105,14,210
N20000685,38,77,195,48,417
N20000686,16,47,138,16,200
N20000687,24,60,166,29,229
N20000688,35,57,189,52,335
N20000689,35,73,186,43,367
N20000690,25,56,198,38,287
N20000691,23,61,160,30,260
N20000692,38,80,233,57,438
N20000693,25,54,122,33,242
N20000694,31,75,203,51,355
N20000695,43,77,182,63,340
N20000696,15,27,119,13,249
N20000697,23,53,183,21,355
N20000698,9,23,66,4,146
N20000699,38,45,131,48,300
N20000700,27,65,171,27,310
N20000701,40,65,217,45,381
N20000702,26,54,112,33,275
N20000703,38,71,158,52,295
N20000704,20,43,82,18,236
N20000705,14,35,97,15,295
N20000706,33,62,206,48,418
N20000707,30,53,114,24,316
N20000708,29,47,156,32,298
N20000709,30,80,197,52,374
N20000710,32,59,217,58,507
N20000711,44,82,260,36,343
N20000712,10,52,148,5,260
N20000713,20,68,91,12,392
N20000714,10,24,51,5,158
N20000715,24,65,122,7,362
N20000716,29,61,200,14,323
N20000717,23,60,135,11,358
N20000718,14,41,113,9,272
N20000719,14,48,85,4,374
N20000720,18,42,116,10,203
N20000721,20,37,101,0,200
N20000722,17,36,144,18,198
N20000723,19,77,149,14,311
N20000724,15,43,148,16,224
N20000725,7,31,57,7,270
N20000726,16,52,176,11,281
N20000727,9,47,108,10,219
N20000728,25,41,85,9,267
N20000729,14,37,70,3,235
N20000730,16,74,139,11,461
N20000731,21,84,265,28,330
N20000732,12,49,133,20,303
N20000733,24,87,160,19,300
N20000734,19,44,98,12,187
N20000735,18,63,144,13,279
N20000736,10,37,90,9,280
N20000737,18,54,112,17,293
N20000738,29,45,127,9,257
N20000739,10,24,52,4,218
N20000740,21,51,108,14,244
N20000741,25,44,121,7,250
N20000742,18,49,107,13,203
N20000743,19,49,94,8,278
N20000744,17,52,85,6,334
N20000745,14,37,81,2,268
N20000746,22,80,109,11,452
N20000747,25,38,107,5,214
N20000748,16,62,76,5,528
N20000749,27,61,72,7,481
N20000750,25,63,122,12,308
N20000751,17,42,60,3,303
N20000752,12,41,63,7,272
N20000753,25,49,72,3,339
N20000754,7,10,32,3,168
N20000755,11,50,83,6,352
N20000756,19,37,60,3,340
N20000757,23,36,79,11,292
N20000758,27,58,94,5,381
N20000759,15,23,73,7,311
N20000760,13,34,98,8,261
N20000761,10,60,61,11,388
N20000762,20,42,71,8,235
N20000763,15,29,47,3,279
N20000764,11,29,47,3,305
N20000765,9,20,51,3,285
N20000766,11,34,55,4,221
N20000767,17,40,93,6,407
N20000768,17,39,66,9,353
N20000769,12,49,75,8,339
N20000770,21,50,64,5,436
N20000771,7,51,69,8,282
N20000772,6,23,47,8,137
N20000773,16,46,65,9,289
N20000774,8,13,30,1,175
