dz_2021_code,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20003305,41,139,54,1,17,10,57,6
N20003306,51,205,65,1,38,9,57,14
N20003307,55,193,63,1,25,0,35,6
N20003308,208,153,40,2,38,2,59,7
N20003309,264,148,36,3,26,0,47,6
N20003310,277,195,34,2,25,1,37,6
N20003311,214,89,93,10,83,1,127,12
N20003312,35,116,71,11,63,6,85,5
N20003313,353,85,38,3,24,0,73,3
N20003314,46,117,56,12,74,0,106,7
N20003315,557,10,15,1,41,2,56,5
N20003316,29,170,54,5,28,0,58,8
N20003317,458,136,52,9,70,3,119,9
N20003318,544,13,17,2,14,0,58,9
N20003319,790,30,12,10,20,5,128,2
N20003320,213,68,49,7,11,5,91,8
N20003321,484,55,51,3,42,1,90,8
N20003322,259,78,27,8,27,1,76,7
N20003323,253,96,31,2,47,0,51,7
N20003324,591,65,54,3,36,3,91,5
N20003325,313,35,15,0,26,3,44,4
N20003326,371,99,27,1,19,3,61,6
N20003327,500,87,36,1,11,1,49,7
N20003328,513,54,80,3,45,6,73,5
N20003329,222,120,64,3,50,1,87,12
N20003330,229,118,77,3,50,0,109,2
N20003331,297,143,68,1,40,1,75,8
N20003332,419,11,9,0,18,2,60,9
N20003333,303,86,36,3,28,1,39,6
N20003334,353,28,12,7,19,0,40,7
N20003335,611,29,54,0,17,1,105,8
N20003336,705,15,10,1,8,2,44,12
N20003337,384,113,42,18,44,0,62,4
N20003338,387,53,70,4,28,8,169,4
N20003339,207,25,44,5,8,1,48,3
N20003340,219,43,66,7,23,9,97,10
N20003341,498,19,31,0,17,6,91,16
N20003342,625,4,14,0,5,0,46,8
N20003343,448,60,27,1,17,3,66,4
N20003344,411,0,2,0,0,10,32,4
N20003345,365,1,0,0,1,0,27,7
N20003346,318,1,1,1,0,1,34,2
N20003347,75,217,82,2,44,3,95,0
N20003348,88,69,35,5,20,1,98,4
N20003349,222,176,89,11,66,5,186,3
N20003350,143,154,91,13,38,1,150,8
N20003351,68,121,50,3,31,0,75,3
N20003352,211,117,28,12,66,7,97,10
N20003353,98,113,96,10,57,3,101,3
N20003354,89,150,50,7,49,0,76,9
N20003355,207,142,61,16,57,3,158,12
N20003356,67,201,52,14,73,1,111,16
N20003357,317,88,29,1,25,0,74,3
N20003358,48,245,102,4,71,10,186,10
N20003359,125,208,77,16,58,0,107,10
N20003360,73,105,48,3,42,3,104,5
N20003361,105,143,39,3,64,3,74,12
N20003362,60,124,70,12,94,5,56,8
N20003363,39,182,59,3,53,5,81,2
N20003364,206,60,25,0,20,4,74,9
N20003365,177,155,52,4,37,4,75,22
N20003366,56,167,118,32,81,5,117,7
N20003367,92,71,37,2,41,1,54,3
N20003368,137,75,82,2,14,1,106,4
N20003369,28,139,153,27,87,4,101,15
N20003370,85,218,80,34,125,10,122,7
N20003371,115,187,110,10,61,13,155,21
N20003372,85,69,72,0,11,2,84,5
N20003373,171,95,51,6,47,6,103,0
N20003374,68,64,29,11,19,6,77,7
N20003375,97,71,73,6,17,3,119,5
N20003376,96,69,44,4,19,1,82,3
N20003377,166,82,54,1,12,1,42,8
N20003378,147,100,56,8,47,7,96,6
N20003379,219,30,24,3,15,9,104,10
N20003380,360,47,43,2,14,2,90,4
N20003381,195,135,73,7,14,0,87,0
N20003382,112,60,34,12,38,5,92,2
N20003383,249,76,38,5,24,0,69,4
N20003384,346,41,24,5,13,5,88,6
N20003385,208,52,56,4,34,8,90,5
N20003386,135,117,65,2,7,1,122,6
N20003387,219,142,69,9,68,3,122,7
N20003388,393,47,24,2,18,0,93,5
N20003389,162,81,48,11,26,2,69,2
N20003390,286,30,27,0,16,1,59,3
N20003391,400,3,56,3,8,3,106,11
N20003392,334,85,117,1,40,0,108,4
N20003393,415,18,74,2,8,8,127,8
N20003394,532,10,23,1,3,4,55,9
N20003395,376,79,90,1,37,4,101,7
N20003396,438,13,57,7,13,2,94,12
N20003397,399,66,71,4,17,9,116,27
N20003398,392,8,22,2,15,8,38,1
N20003399,497,12,23,2,9,4,61,8
N20003400,374,5,15,0,6,0,43,6
N20003401,345,13,24,0,37,2,62,8
N20003402,305,12,10,0,5,2,49,3
N20003403,291,7,22,1,14,3,74,12
N20003404,185,13,52,0,19,5,38,4
N20003405,507,7,13,0,1,2,45,1
N20003406,294,10,11,0,23,7,58,9
N20003407,292,5,9,0,20,5,37,7
N20003408,171,4,14,0,16,8,48,3
N20003409,399,14,8,0,6,3,34,5
N20003410,350,10,10,0,20,18,48,7
N20003411,655,34,17,1,18,4,77,9
N20003412,464,2,11,0,17,17,30,6
N20003413,422,9,19,2,6,1,43,14
N20003414,600,13,46,2,8,2,81,9
N20003415,187,7,2,2,5,3,15,2
N20003416,493,9,7,0,9,0,51,17
N20003417,469,6,4,2,15,2,45,4
N20003418,460,4,4,0,3,1,31,6
N20003419,591,8,4,1,5,0,53,10
N20003420,558,21,18,0,9,0,118,13
N20003421,624,5,9,0,0,6,41,10
N20003422,397,18,51,0,17,2,52,3
N20003423,479,7,23,1,8,1,54,9
N20003424,306,23,40,0,23,6,74,5
N20003425,360,6,9,2,3,0,38,6
N20003426,377,9,5,1,9,1,21,7
N20003427,245,9,10,1,1,1,34,18
N20003428,468,12,11,0,7,2,39,9
N20003429,493,34,61,0,26,7,62,2
N20003430,378,5,6,1,3,5,58,8
N20003431,399,5,6,0,4,0,72,8
N20003432,14,117,46,10,33,3,52,5
N20003433,16,208,43,14,63,0,136,5
N20003434,16,157,42,13,41,2,92,2
N20003435,8,152,55,17,31,2,124,4
N20003436,31,263,76,11,61,10,172,10
N20003437,21,207,75,12,38,6,127,5
N20003438,12,199,63,26,41,0,116,6
N20003439,11,159,40,16,27,0,71,5
N20003440,28,163,72,13,55,4,161,17
N20003441,14,117,50,20,42,4,84,6
N20003442,10,148,31,12,35,4,70,3
N20003443,32,115,54,7,51,20,174,7
N20003444,32,125,44,9,43,0,168,8
N20003445,26,130,42,11,38,6,102,5
N20003446,21,103,34,9,27,5,124,2
N20003447,12,147,32,10,33,8,102,3
N20003448,28,315,152,30,61,3,176,7
N20003449,27,73,37,4,15,6,77,1
N20003450,30,177,42,13,52,0,83,12
N20003451,23,134,34,17,35,5,125,4
N20003452,16,185,82,13,54,3,111,3
N20003453,28,172,74,18,52,6,99,2
N20003454,18,161,70,13,43,0,116,8
N20003455,33,99,50,9,37,3,117,2
N20003456,18,233,66,11,40,0,138,12
N20003457,14,210,82,10,56,5,133,7
N20003458,9,197,28,7,24,6,52,8
N20003459,8,171,49,6,39,0,89,5
N20003460,20,181,100,10,42,1,87,2
N20003461,20,171,34,17,32,0,63,2
N20003462,17,137,46,11,49,5,79,2
N20003463,38,320,97,30,87,7,154,8
N20003464,20,123,45,6,26,7,90,3
N20003465,55,243,46,14,50,2,150,9
N20003466,26,229,95,16,59,0,134,4
N20003467,28,276,147,10,84,7,295,10
N20003468,63,150,79,35,63,4,204,4
N20003469,41,210,140,15,62,8,226,20
N20003470,47,227,93,5,56,1,137,2
N20003471,162,294,70,9,43,8,90,16
N20003472,11,167,87,7,19,1,103,8
N20003473,33,201,103,9,69,7,156,5
N20003474,48,189,109,14,60,1,205,6
N20003475,39,199,70,28,75,5,171,2
N20003476,46,186,83,32,98,7,138,2
N20003477,23,146,54,33,70,1,191,2
N20003478,22,172,87,30,84,0,112,1
N20003479,14,111,37,14,58,9,107,32
N20003480,26,149,45,12,56,11,200,7
N20003481,18,77,61,19,58,5,115,3
N20003482,62,136,42,26,64,8,159,2
N20003483,21,138,61,22,52,11,121,6
N20003484,29,135,87,25,95,21,194,4
N20003485,26,82,28,12,47,0,136,1
N20003486,33,113,43,9,44,9,187,11
N20003487,28,171,86,46,70,4,129,13
N20003488,37,212,91,50,73,10,201,13
N20003489,24,100,43,16,43,0,139,6
N20003490,28,139,86,21,55,1,120,10
N20003491,43,188,80,31,73,5,190,5
N20003492,45,188,99,29,78,6,234,5
N20003493,42,151,76,16,44,12,253,4
N20003494,34,171,79,22,56,5,135,6
N20003495,33,112,60,9,32,12,156,5
N20003496,52,153,100,16,65,16,172,3
N20003497,12,149,58,15,70,0,89,5
N20003498,37,97,58,22,30,8,92,7
N20003499,48,83,28,5,26,20,104,8
N20003500,30,77,25,9,20,3,72,8
N20003501,32,159,88,21,52,5,95,11
N20003502,56,217,99,26,64,6,221,8
N20003503,72,106,29,6,43,5,129,5
N20003504,75,126,40,17,41,23,163,11
N20003505,42,219,67,32,90,10,233,16
N20003506,52,278,66,15,51,4,170,18
N20003507,21,138,45,24,60,1,163,5
N20003508,40,154,78,22,78,10,114,19
N20003509,25,113,20,3,39,8,154,7
N20003510,16,66,21,5,15,2,50,8
N20003511,21,115,64,11,59,2,106,3
N20003512,21,124,42,3,36,6,88,1
N20003513,20,62,20,13,20,15,85,6
N20003514,42,221,66,36,36,10,147,9
N20003515,9,161,56,17,30,6,202,14
N20003516,27,111,60,11,33,22,126,0
N20003517,16,128,45,4,45,8,75,2
N20003518,53,154,18,14,35,12,156,6
N20003519,22,101,49,19,35,9,114,11
N20003520,21,155,50,10,45,11,237,10
N20003521,42,168,60,15,67,11,171,13
N20003522,29,81,46,9,39,11,100,3
N20003523,23,184,81,14,86,1,144,4
N20003524,23,90,39,11,41,2,111,22
N20003525,35,69,67,33,55,9,99,7
N20003526,25,121,55,15,35,3,119,2
N20003527,25,96,43,11,24,5,128,18
N20003528,22,190,76,27,58,2,117,3
N20003529,41,80,37,8,18,12,114,5
N20003530,11,126,54,15,53,5,96,1
N20003531,34,152,81,14,46,5,80,15
N20003532,29,178,77,13,52,6,193,6
N20003533,22,223,42,15,60,8,170,6
N20003534,24,146,34,12,38,4,168,8
N20003535,30,183,86,22,63,0,161,8
N20003536,26,194,126,25,86,3,241,4
N20003537,78,140,108,7,39,13,207,2
N20003538,65,116,130,18,43,11,197,6
N20003539,72,88,47,8,22,6,104,2
N20003540,37,91,74,6,18,7,129,2
N20003541,26,103,58,23,32,4,83,5
N20003542,27,118,73,21,36,0,139,9
N20003543,27,135,54,26,19,4,69,10
N20003544,61,99,48,10,29,0,105,2
N20003545,96,99,94,19,57,22,209,13
N20003546,65,197,86,18,55,12,198,8
N20003547,87,164,109,18,52,10,218,21
N20003548,105,133,142,19,44,15,211,3
N20003549,144,129,141,12,51,15,133,7
N20003550,116,101,132,15,37,2,190,11
N20003551,83,84,72,25,34,11,115,5
N20003552,69,57,68,5,20,12,97,10
N20003553,217,122,133,33,52,2,243,11
N20003554,123,344,174,54,148,13,337,8
N20003555,83,92,96,15,28,12,147,6
N20003556,59,95,52,18,62,10,182,3
N20003557,27,64,30,8,37,6,114,3
N20003558,86,62,59,5,16,14,148,7
N20003559,106,54,59,17,30,4,184,9
N20003560,87,66,70,16,12,5,118,7
N20003561,130,48,57,20,22,16,181,7
N20003562,60,259,98,23,108,6,191,11
N20003563,62,58,41,15,24,3,85,8
N20003564,86,49,44,8,25,14,153,0
N20003565,102,80,61,23,35,2,119,2
N20003566,88,67,43,8,26,9,120,3
N20003567,140,103,87,23,31,7,155,4
N20003568,42,247,74,23,78,15,162,5
N20003569,94,290,133,33,81,9,232,18
N20003570,59,39,59,7,11,9,91,4
N20003571,80,75,106,16,60,6,137,12
N20003572,15,231,36,12,48,5,162,2
N20003573,119,103,87,12,35,12,153,6
N20003574,101,72,96,9,19,5,112,12
N20003575,79,63,105,7,20,8,96,4
N20003576,72,55,45,5,78,10,276,11
N20003577,75,96,58,5,33,10,117,10
N20003578,62,165,107,13,68,5,225,5
N20003579,52,91,51,6,24,2,100,5
N20003580,99,154,58,13,29,3,138,9
N20003581,167,168,93,12,28,3,234,9
N20003582,65,141,59,24,19,7,112,8
N20003583,118,55,58,10,18,8,123,9
N20003584,153,131,71,25,25,1,96,11
N20003585,54,156,59,16,39,6,108,6
N20003586,188,90,81,24,32,11,212,8
N20003587,44,110,43,26,26,3,141,4
N20003588,46,121,44,18,37,3,121,4
N20003589,77,120,65,33,35,4,151,6
N20003590,67,74,18,7,22,0,117,7
N20003591,34,87,58,17,15,2,47,2
N20003592,59,80,30,6,41,14,195,3
N20003593,35,89,29,12,38,3,82,7
N20003594,51,160,64,32,34,7,159,15
N20003595,69,159,92,24,35,4,157,15
N20003596,41,81,43,11,44,6,194,12
N20003597,55,86,19,6,33,6,119,2
N20003598,33,134,46,19,23,5,75,9
N20003599,79,96,56,12,37,10,218,4
N20003600,45,140,58,28,24,2,108,6
N20003601,45,95,27,6,30,7,103,0
N20003602,78,126,61,10,28,4,118,7
N20003603,50,129,52,14,54,11,175,4
N20003604,30,94,48,37,23,1,73,5
N20003605,87,199,61,29,85,9,260,12
N20003606,37,77,38,9,18,5,68,5
N20003607,13,159,64,6,27,3,145,4
N20003608,8,98,27,3,7,4,91,6
N20003609,9,153,59,31,27,9,200,5
N20003610,26,63,16,1,26,10,111,1
N20003611,45,107,67,19,23,7,166,5
N20003612,53,90,39,22,30,1,122,1
N20003613,31,110,62,7,46,7,139,3
N20003614,58,119,48,19,57,1,149,10
N20003615,57,197,104,31,70,9,179,3
N20003616,28,182,88,29,58,10,212,6
N20003617,24,144,40,3,49,2,161,3
N20003618,21,120,42,16,41,7,180,8
N20003619,92,167,75,22,68,9,292,10
N20003620,85,206,80,19,67,17,242,5
N20003621,38,144,69,8,26,1,138,9
N20003622,20,134,80,24,35,4,182,2
N20003623,56,132,93,12,42,4,201,5
N20003624,85,76,60,14,53,11,296,6
N20003625,31,147,93,15,56,12,157,6
N20003626,54,134,88,26,44,3,155,16
N20003627,46,116,105,17,27,3,121,5
N20003628,97,98,57,12,29,5,206,5
N20003629,43,87,117,22,29,4,193,7
N20003630,45,86,84,30,52,2,201,5
N20003631,54,54,32,8,17,12,203,4
N20003632,115,81,30,3,47,30,257,11
N20003633,15,54,28,7,29,1,38,8
N20003634,42,84,72,27,26,2,176,4
N20003635,42,115,59,25,49,3,154,15
N20003636,34,50,7,7,24,3,143,6
N20003637,55,126,49,21,43,7,171,3
N20003638,55,94,44,13,42,4,212,5
N20003639,31,123,74,20,38,5,155,3
N20003640,66,44,25,5,31,9,116,17
N20003641,34,51,28,10,23,6,124,7
N20003642,62,45,19,21,23,9,156,15
N20003643,22,104,59,13,31,2,84,16
N20003644,53,137,75,34,36,6,149,3
N20003645,48,148,93,42,49,7,219,2
N20003646,33,141,75,25,63,5,117,3
N20003647,80,128,78,27,48,3,198,19
N20003648,30,146,69,18,20,2,116,17
N20003649,75,156,44,10,34,8,220,7
N20003650,59,203,122,39,81,7,271,11
N20003651,38,101,62,5,56,1,189,5
N20003652,67,154,79,34,60,5,177,10
N20003653,36,119,50,8,36,2,156,5
N20003654,34,132,40,12,33,6,150,17
N20003655,31,150,58,8,74,11,186,6
N20003656,25,150,46,10,32,9,166,1
N20003657,27,100,41,7,18,5,146,7
N20003658,20,102,62,34,52,5,96,5
N20003659,18,143,68,20,38,1,217,5
N20003660,23,133,29,10,29,4,166,10
N20003661,35,77,59,10,39,28,163,4
N20003662,21,139,51,9,20,8,103,10
N20003663,38,103,55,16,57,1,160,17
N20003664,16,133,80,26,69,11,196,8
N20003665,19,57,20,16,25,6,81,8
N20003666,24,153,68,26,52,4,124,8
N20003667,36,154,50,27,53,8,217,3
N20003668,26,124,55,16,68,12,176,8
N20003669,49,178,80,24,61,7,219,5
N20003670,28,83,28,8,25,3,185,0
N20003671,39,94,35,9,40,0,161,1
N20003672,21,116,30,8,23,5,126,5
N20003673,39,213,53,26,103,7,278,1
N20003674,28,104,47,11,36,1,117,7
N20003675,28,106,39,11,71,6,175,1
N20003676,57,125,57,22,66,7,237,3
N20003677,30,151,45,16,41,5,135,15
N20003678,45,130,58,15,41,2,209,6
N20003679,19,106,61,15,18,0,42,9
N20003680,29,111,100,14,44,10,167,7
N20003681,21,130,49,16,23,1,116,6
N20003682,23,124,80,12,30,4,96,5
N20003683,14,77,47,19,41,1,101,6
N20003684,28,152,100,35,44,3,139,15
N20003685,36,162,77,18,35,1,143,5
N20003686,37,101,49,13,31,1,110,2
N20003687,24,125,55,9,49,3,128,5
N20003688,17,119,63,28,35,3,90,7
N20003689,25,81,49,21,35,5,156,6
N20003690,22,101,68,12,32,2,97,1
N20003691,33,125,68,15,64,3,118,7
N20003692,6,54,27,11,26,7,53,5
N20003693,23,130,80,33,55,1,133,6
N20003694,35,134,68,18,40,4,156,4
N20003695,47,150,63,34,68,9,154,5
N20003696,46,156,86,27,83,4,160,8
N20003697,33,177,91,44,34,9,168,2
N20003698,43,168,107,31,57,13,182,7
N20003699,36,116,70,14,56,2,162,7
N20003700,32,204,84,28,59,7,202,5
N20003701,61,189,76,17,47,2,154,0
N20003702,27,83,59,15,24,1,105,5
N20003703,33,75,46,11,39,9,175,4
N20003704,17,166,102,23,47,2,160,2
N20003705,37,132,72,22,34,15,139,9
N20003706,23,124,73,19,37,9,122,3
N20003707,28,128,53,16,30,10,103,7
N20003708,65,199,76,43,50,5,225,7
N20003709,55,164,76,26,62,13,204,5
N20003710,29,55,22,12,26,0,79,4
N20003711,16,56,52,12,14,4,70,2
N20003712,46,185,88,31,56,4,210,12
N20003713,15,65,52,15,28,1,93,4
N20003714,26,219,99,32,80,4,205,9
N20003715,15,88,32,10,28,5,79,12
N20003716,45,139,71,34,60,6,224,4
N20003717,53,125,60,16,52,2,157,0
N20003718,33,133,66,19,33,7,137,8
N20003719,70,197,98,66,75,3,214,11
N20003720,18,152,85,19,35,1,150,7
N20003721,27,168,44,16,19,3,127,12
N20003722,24,140,60,20,39,1,143,8
N20003723,5,119,68,17,17,5,120,3
N20003724,17,86,94,18,27,0,66,6
N20003725,23,198,87,11,61,7,204,2
N20003726,12,97,60,5,36,3,105,3
N20003727,12,130,60,6,32,0,95,6
N20003728,25,232,107,34,43,4,211,6
N20003729,30,181,86,29,61,5,220,8
N20003730,11,133,65,25,51,6,131,11
N20003731,19,170,34,15,50,4,94,4
N20003732,15,132,93,25,56,3,154,11
N20003733,12,138,89,12,94,1,144,0
N20003734,14,217,106,23,96,1,237,0
N20003735,16,212,96,21,59,7,128,5
N20003736,13,89,46,7,63,1,103,7
N20003737,6,155,39,8,57,5,108,3
N20003738,28,154,94,61,105,2,177,8
N20003739,53,206,83,39,105,4,276,10
N20003740,18,185,62,3,80,6,125,6
N20003741,10,176,68,17,52,2,108,2
N20003742,9,119,91,4,32,0,117,2
N20003743,24,285,119,19,57,8,179,18
N20003744,31,148,57,15,30,0,107,12
N20003745,6,174,65,19,52,6,116,0
N20003746,25,180,64,12,56,7,124,3
N20003747,25,170,69,16,82,3,116,7
N20003748,12,164,73,4,61,1,57,10
N20003749,6,118,67,9,45,2,103,9
N20003750,9,155,106,22,37,0,108,8
N20003751,2,131,71,17,39,4,115,5
N20003752,19,143,73,9,32,3,92,6
N20003753,16,126,79,17,50,1,141,4
N20003754,14,171,125,7,45,8,115,5
N20003755,37,175,29,22,84,5,118,7
N20003756,238,98,31,15,23,4,130,5
N20003757,30,186,75,34,91,12,224,9
N20003758,29,201,116,29,117,8,242,8
N20003759,233,53,27,2,16,6,69,4
N20003760,272,31,49,11,8,1,66,3
N20003761,149,162,55,50,65,7,141,8
N20003762,12,71,61,12,73,5,134,4
N20003763,244,76,30,7,42,1,98,3
N20003764,0,124,67,10,83,0,79,5
N20003765,4,122,43,6,75,1,102,6
N20003766,32,238,103,35,116,4,176,12
N20003767,57,100,46,13,58,4,87,3
N20003768,23,150,69,15,99,4,102,4
N20003769,164,111,44,12,42,3,99,1
N20003770,71,107,34,33,24,2,105,1
N20003771,351,95,60,13,34,7,149,19
N20003772,172,128,43,22,44,8,84,7
N20003773,468,77,36,8,22,0,105,11
N20003774,229,60,22,3,21,0,80,6
N20003775,475,25,18,1,9,0,64,6
N20003776,388,15,12,3,1,0,24,3
N20003777,382,9,4,0,8,2,37,6
N20003778,351,9,14,3,10,1,39,3
N20003779,327,15,18,5,6,7,59,8
N20003780,260,51,37,5,15,0,73,5
